track,kind,repetition,backend,job_id,submission_to_retrieval_seconds,shots,expected_cut,approximation_ratio,mean_cut_ci_low,mean_cut_ci_high,optimum_probability,optimum_ci_low,optimum_ci_high,best_observed_cut,tvd_to_ideal
IBM hardware,hardware,0,ibm_marrakesh,danpge78gn2s739mvkl0,3497.901438,2048,7.66650390625,0.766650390625,7.572559078514977,7.760448733985023,0.302734375,0.2832207321031909,0.32298665954177463,10.0,0.1488140962662975
IBM hardware,hardware,1,ibm_marrakesh,danpge78gn2s739mvkl0,3497.901438,2048,7.7021484375,0.77021484375,7.606554561508816,7.797742313491184,0.3203125,0.30045697048100245,0.34084085161144134,10.0,0.14408507872886306
IBM hardware,hardware,2,ibm_marrakesh,danpge78gn2s739mvkl0,3497.901438,2048,7.6826171875,0.76826171875,7.588631015929857,7.776603359070143,0.3095703125,0.28991971692166285,0.32993395323065533,10.0,0.14548064412223388
IBM hardware,hardware,3,ibm_marrakesh,danpge78gn2s739mvkl0,3497.901438,2048,7.68603515625,0.768603515625,7.590236312875438,7.781833999624562,0.3203125,0.30045697048100245,0.34084085161144134,10.0,0.1445344933850971
IBM hardware,hardware,4,ibm_marrakesh,danpge78gn2s739mvkl0,3497.901438,2048,7.701171875,0.7701171875,7.6071690519908435,7.7951746980091565,0.32275390625,0.3028535226364317,0.34331797035149525,10.0,0.1449078462662975
IQM hardware,hardware,0,garnet,01a0bdea-a9de-717c-bf45-d0d43b4aff7b,3496.350111,2048,7.32568359375,0.732568359375,7.224739698961695,7.426627488538305,0.291015625,0.2717489135270599,0.3110648578195868,10.0,0.24145433576187933
IQM hardware,hardware,1,garnet,01a0bdea-a9de-717c-bf45-d0d43b4aff7b,3496.350111,2048,7.2783203125,0.72783203125,7.17578406126635,7.38085656373365,0.28955078125,0.2703160367710639,0.3095735320382929,10.0,0.25775827920069727
IQM hardware,hardware,2,garnet,01a0bdea-a9de-717c-bf45-d0d43b4aff7b,3496.350111,2048,7.42236328125,0.742236328125,7.321528894560848,7.523197667939152,0.31005859375,0.29039841224732404,0.3304299920840908,10.0,0.23113791301968686
IQM hardware,hardware,3,garnet,01a0bdea-a9de-717c-bf45-d0d43b4aff7b,3496.350111,2048,7.33203125,0.733203125,7.229723764568559,7.434338735431441,0.30322265625,0.28369905973588805,0.3234830660881741,10.0,0.2480501183850971
IQM hardware,hardware,4,garnet,01a0bdea-a9de-717c-bf45-d0d43b4aff7b,3496.350111,2048,7.3466796875,0.73466796875,7.245119974365259,7.448239400634741,0.302734375,0.2832207321031909,0.32298665954177463,10.0,0.2487785545118793
